Attack,A,B,C
GPS spoofing,2.942±0.241 (10),2.925±0.208 (10),2.858±0.217 (10)
Comm disruption,3.204±0.308 (10),3.045±0.451 (10),3.020±0.349 (10)
Command injection,0.016±0.008 (10),0.011±0.006 (10),0.009±0.003 (10)
