Attack,A,B,C
GPS spoofing,—,—,0.015±0.006 (20)
Comm disruption,—,—,—
Command injection,—,—,—
GPS spoofing + local detector takeout,—,—,—
GPS spoofing + neighbour monitor host takeout,—,—,—
